Cust_name,cust_id,sku_code,product_qty,facility_code,sales_value,product_price,total_qty,sales_date
Frank Allen,CUST_0447,BGT_SKU_015,4,WH-MUM,1723.36,430.84,4,12-04-2025
Liam Jackson,CUST_0408,BGT_SKU_012,1,WH-KOL,2004.28,2004.28,1,12-04-2025
Uma Thomas,CUST_0413,BGT_SKU_059,1,WH-GGN,2750.52,2750.52,1,12-04-2025
Eve White,CUST_0184,BGT_SKU_043,3,WH-GGN,9709.14,3236.38,3,12-04-2025
Ivan Miller,CUST_0361,BGT_SKU_028,2,WH-GGN,1510.82,755.41,2,12-04-2025
Quinn Rodriguez,CUST_0480,BGT_SKU_020,1,WH-GGN,2295.66,2295.66,1,12-04-2025
Sam Hernandez,CUST_0457,BGT_SKU_033,1,WH-KOL,863.48,863.48,1,12-04-2025
Wendy Garcia,CUST_0359,BGT_SKU_056,2,WH-BLR,3582.3,1791.15,2,12-04-2025
Sam Allen,CUST_0264,BGT_SKU_060,3,WH-KOL,4401.12,1467.04,3,12-04-2025
Peter Wright,CUST_0260,BGT_SKU_076,5,WH-KOL,7668.75,1533.75,5,12-04-2025
Bob Young,CUST_0406,BGT_SKU_046,3,WH-GGN,1548.78,516.26,3,12-04-2025
David Davis,CUST_0179,BGT_SKU_038,4,WH-MUM,4921.84,1230.46,4,12-04-2025
Sam Johnson,CUST_0325,BGT_SKU_039,5,WH-KOL,4193.45,838.69,5,12-04-2025
Uma Young,CUST_0009,BGT_SKU_043,3,WH-KOL,9709.14,3236.38,3,12-04-2025
Ivan Miller,CUST_0361,BGT_SKU_011,5,WH-BLR,9598.15,1919.63,5,12-04-2025
Grace Martin,CUST_0193,BGT_SKU_088,4,WH-GGN,11269.44,2817.36,4,12-04-2025
Heidi Martinez,CUST_0218,BGT_SKU_001,4,WH-KOL,7251.76,1812.94,4,12-04-2025
Victor Lopez,CUST_0195,BGT_SKU_077,5,WH-BLR,1522.55,304.51,5,12-04-2025
David Brown,CUST_0350,BGT_SKU_065,3,WH-KOL,6492.3,2164.1,3,12-04-2025
Alice Jackson,CUST_0133,BGT_SKU_008,1,WH-KOL,1674.11,1674.11,1,12-04-2025
Peter Hernandez,CUST_0011,BGT_SKU_023,2,WH-BLR,2823.4,1411.7,2,12-04-2025
Bob Lopez,CUST_0216,BGT_SKU_091,5,WH-KOL,16101.95,3220.39,5,12-04-2025
Bob Garcia,CUST_0494,BGT_SKU_083,2,WH-BLR,6710.38,3355.19,2,12-04-2025
Rachel King,CUST_0047,BGT_SKU_053,1,WH-MUM,1504.32,1504.32,1,12-04-2025
Kelly Jones,CUST_0497,BGT_SKU_035,3,WH-KOL,4182.78,1394.26,3,12-04-2025
Zoe Lopez,CUST_0339,BGT_SKU_032,4,WH-BLR,13188.36,3297.09,4,12-04-2025
Xavier Martin,CUST_0273,BGT_SKU_025,4,WH-GGN,10987.24,2746.81,4,12-04-2025
Frank Smith,CUST_0147,BGT_SKU_055,5,WH-GGN,14287.25,2857.45,5,12-04-2025
Victor Smith,CUST_0121,BGT_SKU_022,2,WH-GGN,6216.98,3108.49,2,12-04-2025
Xavier Anderson,CUST_0156,BGT_SKU_097,1,WH-MUM,3222.11,3222.11,1,12-04-2025
Wendy Anderson,CUST_0189,BGT_SKU_007,3,WH-KOL,4496.07,1498.69,3,12-04-2025
Kelly Martinez,CUST_0420,BGT_SKU_031,3,WH-MUM,1576.77,525.59,3,12-04-2025
Rachel Martinez,CUST_0194,BGT_SKU_049,2,WH-KOL,6120.42,3060.21,2,12-04-2025
Quinn Garcia,CUST_0125,BGT_SKU_062,4,WH-GGN,2124,531,4,12-04-2025
Ivan Jones,CUST_0079,BGT_SKU_073,4,WH-BLR,12766.88,3191.72,4,12-04-2025
Quinn Allen,CUST_0223,BGT_SKU_026,2,WH-KOL,512.38,256.19,2,12-04-2025
Heidi Johnson,CUST_0190,BGT_SKU_075,2,WH-MUM,6509.1,3254.55,2,12-04-2025
Ivan Smith,CUST_0254,BGT_SKU_071,4,WH-MUM,4345.04,1086.26,4,12-04-2025
Mia Jackson,CUST_0168,BGT_SKU_051,1,WH-BLR,2357.15,2357.15,1,12-04-2025
Kelly Martinez,CUST_0420,BGT_SKU_036,2,WH-KOL,4191.88,2095.94,2,12-04-2025
Uma Thomas,CUST_0476,BGT_SKU_073,1,WH-BLR,3191.72,3191.72,1,12-04-2025
Eve Williams,CUST_0005,BGT_SKU_092,1,WH-KOL,3254.5,3254.5,1,12-04-2025
David Williams,CUST_0069,BGT_SKU_056,3,WH-KOL,5373.45,1791.15,3,12-04-2025
Wendy Wright,CUST_0483,BGT_SKU_029,5,WH-GGN,6296.8,1259.36,5,13-04-2025
Grace Anderson,CUST_0259,BGT_SKU_029,3,WH-BLR,3778.08,1259.36,3,13-04-2025
Rachel Jones,CUST_0478,BGT_SKU_004,3,WH-GGN,3877.98,1292.66,3,13-04-2025
Uma Gonzalez,CUST_0466,BGT_SKU_052,2,WH-MUM,4944.18,2472.09,2,13-04-2025
Yara Allen,CUST_0495,BGT_SKU_020,1,WH-GGN,2295.66,2295.66,1,13-04-2025
David Wilson,CUST_0231,BGT_SKU_098,1,WH-MUM,2426.78,2426.78,1,13-04-2025
Xavier Anderson,CUST_0156,BGT_SKU_071,2,WH-KOL,2172.52,1086.26,2,13-04-2025
Olivia Williams,CUST_0158,BGT_SKU_011,1,WH-KOL,1919.63,1919.63,1,13-04-2025
Alice Wilson,CUST_0329,BGT_SKU_079,2,WH-KOL,661.56,330.78,2,13-04-2025
Judy Brown,CUST_0313,BGT_SKU_049,5,WH-BLR,15301.05,3060.21,5,13-04-2025
Alice Martinez,CUST_0032,BGT_SKU_075,1,WH-MUM,3254.55,3254.55,1,13-04-2025
Liam Anderson,CUST_0362,BGT_SKU_080,3,WH-KOL,1500.06,500.02,3,13-04-2025
Rachel Martinez,CUST_0349,BGT_SKU_028,1,WH-KOL,755.41,755.41,1,13-04-2025
Liam Thompson,CUST_0394,BGT_SKU_048,5,WH-GGN,8992.95,1798.59,5,13-04-2025
Mia Martin,CUST_0343,BGT_SKU_081,4,WH-GGN,8448,2112,4,13-04-2025
Peter Thomas,CUST_0485,BGT_SKU_036,5,WH-MUM,10479.7,2095.94,5,13-04-2025
Charlie Thompson,CUST_0419,BGT_SKU_030,1,WH-KOL,3490.02,3490.02,1,13-04-2025
Grace Williams,CUST_0344,BGT_SKU_015,4,WH-BLR,1723.36,430.84,4,13-04-2025
Ivan Gonzalez,CUST_0320,BGT_SKU_025,5,WH-MUM,13734.05,2746.81,5,13-04-2025
Noah Martinez,CUST_0060,BGT_SKU_070,5,WH-KOL,4409.3,881.86,5,13-04-2025
Charlie Allen,CUST_0417,BGT_SKU_054,2,WH-MUM,629.18,314.59,2,13-04-2025
Victor Smith,CUST_0121,BGT_SKU_084,4,WH-BLR,2739.28,684.82,4,13-04-2025
Bob Jones,CUST_0452,BGT_SKU_034,1,WH-GGN,2447.01,2447.01,1,13-04-2025
Judy Young,CUST_0402,BGT_SKU_100,4,WH-KOL,6708.52,1677.13,4,13-04-2025
Zoe Wright,CUST_0426,BGT_SKU_100,3,WH-KOL,5031.39,1677.13,3,13-04-2025
Kelly Moore,CUST_0198,BGT_SKU_033,5,WH-MUM,4317.4,863.48,5,13-04-2025
Rachel White,CUST_0063,BGT_SKU_050,5,WH-GGN,13429.25,2685.85,5,13-04-2025
Charlie Allen,CUST_0417,BGT_SKU_070,5,WH-MUM,4409.3,881.86,5,13-04-2025
David Rodriguez,CUST_0094,BGT_SKU_013,3,WH-MUM,6935.76,2311.92,3,13-04-2025
Wendy Davis,CUST_0291,BGT_SKU_039,4,WH-GGN,3354.76,838.69,4,13-04-2025
Judy Brown,CUST_0313,BGT_SKU_034,1,WH-BLR,2447.01,2447.01,1,13-04-2025
Victor Williams,CUST_0285,BGT_SKU_089,4,WH-KOL,8087.44,2021.86,4,13-04-2025
Alice Brown,CUST_0107,BGT_SKU_048,5,WH-MUM,8992.95,1798.59,5,13-04-2025
Judy Williams,CUST_0144,BGT_SKU_021,1,WH-KOL,2543.19,2543.19,1,13-04-2025
David Jackson,CUST_0284,BGT_SKU_036,4,WH-GGN,8383.76,2095.94,4,13-04-2025
Liam Thompson,CUST_0394,BGT_SKU_098,5,WH-MUM,12133.9,2426.78,5,13-04-2025
Charlie Miller,CUST_0137,BGT_SKU_045,3,WH-GGN,3784.92,1261.64,3,13-04-2025
Rachel King,CUST_0044,BGT_SKU_015,3,WH-GGN,1292.52,430.84,3,13-04-2025
Alice Moore,CUST_0376,BGT_SKU_084,2,WH-GGN,1369.64,684.82,2,13-04-2025
Ivan Lopez,CUST_0087,BGT_SKU_029,3,WH-GGN,3778.08,1259.36,3,13-04-2025
David Thompson,CUST_0041,BGT_SKU_077,3,WH-GGN,913.53,304.51,3,13-04-2025
David Wilson,CUST_0177,BGT_SKU_060,2,WH-MUM,2934.08,1467.04,2,13-04-2025
Wendy Gonzalez,CUST_0027,BGT_SKU_069,2,WH-KOL,6762.74,3381.37,2,13-04-2025
Rachel Hernandez,CUST_0225,BGT_SKU_006,1,WH-GGN,1141.05,1141.05,1,13-04-2025
Bob Garcia,CUST_0188,BGT_SKU_021,2,WH-BLR,5086.38,2543.19,2,13-04-2025
Charlie Wright,CUST_0489,BGT_SKU_015,4,WH-BLR,1723.36,430.84,4,13-04-2025
Heidi Williams,CUST_0043,BGT_SKU_069,3,WH-GGN,10144.11,3381.37,3,13-04-2025
Uma Jackson,CUST_0192,BGT_SKU_081,3,WH-MUM,6336,2112,3,13-04-2025
Noah Thomas,CUST_0441,BGT_SKU_049,5,WH-BLR,15301.05,3060.21,5,13-04-2025
Uma Davis,CUST_0256,BGT_SKU_039,3,WH-MUM,2516.07,838.69,3,13-04-2025
Rachel Hernandez,CUST_0225,BGT_SKU_043,5,WH-GGN,16181.9,3236.38,5,13-04-2025
Zoe Lopez,CUST_0242,BGT_SKU_076,2,WH-BLR,3067.5,1533.75,2,13-04-2025
Zoe Young,CUST_0355,BGT_SKU_054,1,WH-KOL,314.59,314.59,1,13-04-2025
Quinn Johnson,CUST_0050,BGT_SKU_078,5,WH-MUM,7069.15,1413.83,5,13-04-2025
Alice White,CUST_0249,BGT_SKU_073,5,WH-MUM,15958.6,3191.72,5,13-04-2025
Noah Johnson,CUST_0089,BGT_SKU_008,2,WH-MUM,3348.22,1674.11,2,13-04-2025
Alice Harris,CUST_0141,BGT_SKU_072,3,WH-BLR,8944.44,2981.48,3,13-04-2025
Eve Martin,CUST_0317,BGT_SKU_060,1,WH-MUM,1467.04,1467.04,1,13-04-2025
Eve Hernandez,CUST_0220,BGT_SKU_087,2,WH-MUM,4240.56,2120.28,2,13-04-2025
Liam Allen,CUST_0306,BGT_SKU_005,5,WH-GGN,11371.85,2274.37,5,13-04-2025
Bob Martinez,CUST_0472,BGT_SKU_088,1,WH-MUM,2817.36,2817.36,1,13-04-2025
Victor Williams,CUST_0285,BGT_SKU_058,2,WH-GGN,2063.1,1031.55,2,13-04-2025
Liam Young,CUST_0248,BGT_SKU_053,5,WH-GGN,7521.6,1504.32,5,13-04-2025
Quinn Garcia,CUST_0428,BGT_SKU_048,5,WH-MUM,8992.95,1798.59,5,13-04-2025
Tina Jones,CUST_0075,BGT_SKU_042,4,WH-BLR,12590.76,3147.69,4,13-04-2025
Charlie Johnson,CUST_0154,BGT_SKU_011,1,WH-GGN,1919.63,1919.63,1,13-04-2025
Yara White,CUST_0233,BGT_SKU_010,5,WH-KOL,13520.85,2704.17,5,13-04-2025
David Moore,CUST_0210,BGT_SKU_060,5,WH-MUM,7335.2,1467.04,5,13-04-2025
Xavier Anderson,CUST_0499,BGT_SKU_084,1,WH-MUM,684.82,684.82,1,13-04-2025
Zoe Brown,CUST_0405,BGT_SKU_019,5,WH-MUM,8302.45,1660.49,5,13-04-2025
David Brown,CUST_0350,BGT_SKU_096,5,WH-KOL,5344.25,1068.85,5,13-04-2025
Xavier Garcia,CUST_0302,BGT_SKU_070,4,WH-KOL,3527.44,881.86,4,13-04-2025
Tina King,CUST_0182,BGT_SKU_086,1,WH-GGN,2356.52,2356.52,1,13-04-2025
Victor King,CUST_0312,BGT_SKU_018,3,WH-BLR,1530.03,510.01,3,13-04-2025
Olivia Anderson,CUST_0237,BGT_SKU_072,4,WH-KOL,11925.92,2981.48,4,13-04-2025
Olivia Williams,CUST_0158,BGT_SKU_071,3,WH-KOL,3258.78,1086.26,3,13-04-2025
Victor Smith,CUST_0121,BGT_SKU_044,3,WH-BLR,3821.25,1273.75,3,13-04-2025
Frank Allen,CUST_0447,BGT_SKU_026,5,WH-GGN,1280.95,256.19,5,13-04-2025
Judy Williams,CUST_0144,BGT_SKU_024,2,WH-GGN,4472.98,2236.49,2,13-04-2025
Heidi Wilson,CUST_0234,BGT_SKU_028,1,WH-GGN,755.41,755.41,1,13-04-2025
Frank Jackson,CUST_0049,BGT_SKU_019,4,WH-MUM,6641.96,1660.49,4,13-04-2025
Yara Garcia,CUST_0443,BGT_SKU_089,5,WH-GGN,10109.3,2021.86,5,13-04-2025
Sam Wright,CUST_0124,BGT_SKU_014,1,WH-BLR,2718.52,2718.52,1,13-04-2025
David Davis,CUST_0179,BGT_SKU_004,1,WH-GGN,1292.66,1292.66,1,13-04-2025
Eve Jackson,CUST_0314,BGT_SKU_020,4,WH-BLR,9182.64,2295.66,4,13-04-2025
Eve Rodriguez,CUST_0458,BGT_SKU_087,5,WH-MUM,10601.4,2120.28,5,13-04-2025
Zoe Brown,CUST_0405,BGT_SKU_014,5,WH-MUM,13592.6,2718.52,5,13-04-2025
Judy Garcia,CUST_0062,BGT_SKU_080,1,WH-BLR,500.02,500.02,1,13-04-2025
David Hernandez,CUST_0103,BGT_SKU_017,4,WH-GGN,9858.32,2464.58,4,13-04-2025
Grace Thompson,CUST_0487,BGT_SKU_063,3,WH-GGN,6510.66,2170.22,3,13-04-2025
Grace Anderson,CUST_0259,BGT_SKU_011,3,WH-KOL,5758.89,1919.63,3,13-04-2025
Ivan Garcia,CUST_0082,BGT_SKU_080,3,WH-MUM,1500.06,500.02,3,13-04-2025
Sam Moore,CUST_0246,BGT_SKU_094,5,WH-MUM,7398.95,1479.79,5,13-04-2025
Quinn Martin,CUST_0101,BGT_SKU_079,4,WH-KOL,1323.12,330.78,4,13-04-2025
Heidi Moore,CUST_0187,BGT_SKU_041,1,WH-BLR,1537.61,1537.61,1,13-04-2025
Noah Hernandez,CUST_0386,BGT_SKU_063,3,WH-MUM,6510.66,2170.22,3,13-04-2025
David Wilson,CUST_0370,BGT_SKU_017,3,WH-MUM,7393.74,2464.58,3,13-04-2025
Quinn Davis,CUST_0020,BGT_SKU_086,1,WH-GGN,2356.52,2356.52,1,13-04-2025
Zoe Brown,CUST_0059,BGT_SKU_088,5,WH-MUM,14086.8,2817.36,5,13-04-2025
Judy Davis,CUST_0433,BGT_SKU_050,2,WH-GGN,5371.7,2685.85,2,13-04-2025
Kelly King,CUST_0170,BGT_SKU_013,1,WH-BLR,2311.92,2311.92,1,13-04-2025
Rachel Davis,CUST_0422,BGT_SKU_092,3,WH-BLR,9763.5,3254.5,3,13-04-2025
Grace King,CUST_0468,BGT_SKU_010,3,WH-GGN,8112.51,2704.17,3,13-04-2025
Ivan Garcia,CUST_0082,BGT_SKU_012,2,WH-KOL,4008.56,2004.28,2,13-04-2025
Ivan Thomas,CUST_0166,BGT_SKU_003,4,WH-KOL,6753.44,1688.36,4,13-04-2025
Wendy Gonzalez,CUST_0027,BGT_SKU_062,1,WH-KOL,531,531,1,13-04-2025
Peter Jackson,CUST_0401,BGT_SKU_013,5,WH-BLR,11559.6,2311.92,5,13-04-2025
Judy Davis,CUST_0433,BGT_SKU_003,5,WH-GGN,8441.8,1688.36,5,13-04-2025
Kelly Williams,CUST_0076,BGT_SKU_056,5,WH-MUM,8955.75,1791.15,5,13-04-2025
Sam Jackson,CUST_0185,BGT_SKU_095,4,WH-GGN,8909.16,2227.29,4,13-04-2025
Grace Anderson,CUST_0259,BGT_SKU_009,2,WH-BLR,2117.18,1058.59,2,13-04-2025
Rachel White,CUST_0063,BGT_SKU_009,1,WH-GGN,1058.59,1058.59,1,13-04-2025
Sam Rodriguez,CUST_0289,BGT_SKU_072,4,WH-KOL,11925.92,2981.48,4,13-04-2025
Rachel Martinez,CUST_0194,BGT_SKU_046,5,WH-BLR,2581.3,516.26,5,13-04-2025
Xavier Wilson,CUST_0390,BGT_SKU_040,1,WH-GGN,2586.75,2586.75,1,13-04-2025
Kelly Moore,CUST_0335,BGT_SKU_009,5,WH-GGN,5292.95,1058.59,5,13-04-2025
Peter Davis,CUST_0332,BGT_SKU_031,3,WH-KOL,1576.77,525.59,3,13-04-2025
Zoe Brown,CUST_0059,BGT_SKU_008,2,WH-BLR,3348.22,1674.11,2,13-04-2025
Wendy Wright,CUST_0483,BGT_SKU_045,5,WH-KOL,6308.2,1261.64,5,13-04-2025
Yara Davis,CUST_0142,BGT_SKU_026,1,WH-GGN,256.19,256.19,1,13-04-2025
Liam Young,CUST_0248,BGT_SKU_066,5,WH-KOL,8300.85,1660.17,5,13-04-2025
David Anderson,CUST_0057,BGT_SKU_090,2,WH-KOL,2196.94,1098.47,2,13-04-2025
Liam Thompson,CUST_0146,BGT_SKU_057,1,WH-GGN,2914.26,2914.26,1,13-04-2025
Quinn Martin,CUST_0113,BGT_SKU_096,5,WH-KOL,5344.25,1068.85,5,13-04-2025
Wendy Hernandez,CUST_0128,BGT_SKU_044,3,WH-MUM,3821.25,1273.75,3,13-04-2025
Xavier Brown,CUST_0204,BGT_SKU_079,2,WH-GGN,661.56,330.78,2,13-04-2025
Liam Jackson,CUST_0408,BGT_SKU_001,5,WH-GGN,9064.7,1812.94,0,13-04-2025
Heidi Wilson,CUST_0234,BGT_SKU_098,2,WH-BLR,4853.56,2426.78,2,13-04-2025
Kelly Allen,CUST_0491,BGT_SKU_077,2,WH-MUM,609.02,304.51,2,13-04-2025
Noah Moore,CUST_0283,BGT_SKU_056,2,WH-MUM,3582.3,1791.15,2,13-04-2025
Judy Jackson,CUST_0296,BGT_SKU_059,4,WH-BLR,11002.08,2750.52,4,13-04-2025
Liam Thomas,CUST_0467,BGT_SKU_030,2,WH-BLR,6980.04,3490.02,2,13-04-2025
Alice Thomas,CUST_0008,BGT_SKU_099,4,WH-KOL,7567.8,1891.95,4,13-04-2025
Wendy Jones,CUST_0212,BGT_SKU_063,3,WH-GGN,6510.66,2170.22,3,13-04-2025
Xavier Johnson,CUST_0346,BGT_SKU_024,4,WH-MUM,8945.96,2236.49,4,13-04-2025
Yara Wilson,CUST_0034,BGT_SKU_032,4,WH-MUM,13188.36,3297.09,4,13-04-2025
Heidi Johnson,CUST_0190,BGT_SKU_014,5,WH-GGN,13592.6,2718.52,5,13-04-2025
Alice Brown,CUST_0337,BGT_SKU_091,3,WH-BLR,9661.17,3220.39,3,13-04-2025
Yara Brown,CUST_0196,BGT_SKU_056,4,WH-BLR,7164.6,1791.15,4,13-04-2025
Kelly Miller,CUST_0095,BGT_SKU_034,4,WH-GGN,9788.04,2447.01,4,13-04-2025
Wendy Jones,CUST_0212,BGT_SKU_070,4,WH-GGN,3527.44,881.86,4,13-04-2025
Wendy Anderson,CUST_0189,BGT_SKU_019,2,WH-KOL,3320.98,1660.49,2,13-04-2025
Grace Williams,CUST_0163,BGT_SKU_070,5,WH-BLR,4409.3,881.86,5,13-04-2025
Grace Williams,CUST_0344,BGT_SKU_052,2,WH-GGN,4944.18,2472.09,2,13-04-2025
Wendy Wilson,CUST_0071,BGT_SKU_018,4,WH-GGN,2040.04,510.01,4,13-04-2025
David Brown,CUST_0350,BGT_SKU_053,1,WH-MUM,1504.32,1504.32,1,13-04-2025
Olivia Johnson,CUST_0171,BGT_SKU_079,2,WH-MUM,661.56,330.78,2,13-04-2025
Victor Rodriguez,CUST_0424,BGT_SKU_086,1,WH-KOL,2356.52,2356.52,1,13-04-2025
Peter Wilson,CUST_0224,BGT_SKU_027,5,WH-KOL,7551.95,1510.39,5,13-04-2025
Quinn Garcia,CUST_0125,BGT_SKU_065,2,WH-KOL,4328.2,2164.1,2,13-04-2025
Zoe Lopez,CUST_0322,BGT_SKU_088,2,WH-GGN,5634.72,2817.36,2,13-04-2025
Quinn Garcia,CUST_0428,BGT_SKU_034,1,WH-MUM,2447.01,2447.01,1,13-04-2025
Yara Allen,CUST_0495,BGT_SKU_008,4,WH-KOL,6696.44,1674.11,4,13-04-2025
Tina Miller,CUST_0462,BGT_SKU_021,4,WH-BLR,10172.76,2543.19,4,13-04-2025
Noah Moore,CUST_0407,BGT_SKU_071,2,WH-BLR,2172.52,1086.26,2,13-04-2025
Tina Miller,CUST_0462,BGT_SKU_094,5,WH-BLR,7398.95,1479.79,5,13-04-2025
Eve Jones,CUST_0298,BGT_SKU_042,5,WH-GGN,15738.45,3147.69,5,13-04-2025
Sam Lopez,CUST_0263,BGT_SKU_089,2,WH-KOL,4043.72,2021.86,2,14-04-2025
Xavier Smith,CUST_0482,BGT_SKU_014,1,WH-KOL,2718.52,2718.52,1,14-04-2025
Bob Anderson,CUST_0395,BGT_SKU_020,2,WH-MUM,4591.32,2295.66,2,14-04-2025
Uma Martin,CUST_0445,BGT_SKU_007,1,WH-KOL,1498.69,1498.69,1,14-04-2025
Zoe Lopez,CUST_0339,BGT_SKU_018,1,WH-KOL,510.01,510.01,1,14-04-2025
Wendy Jones,CUST_0212,BGT_SKU_039,3,WH-MUM,2516.07,838.69,3,14-04-2025
Alice Brown,CUST_0337,BGT_SKU_049,4,WH-BLR,12240.84,3060.21,4,14-04-2025
Olivia Anderson,CUST_0288,BGT_SKU_053,5,WH-KOL,7521.6,1504.32,5,14-04-2025
Yara Garcia,CUST_0443,BGT_SKU_015,1,WH-MUM,430.84,430.84,1,14-04-2025
Quinn Johnson,CUST_0050,BGT_SKU_047,2,WH-KOL,6239.22,3119.61,2,14-04-2025
David Moore,CUST_0210,BGT_SKU_063,4,WH-MUM,8680.88,2170.22,4,14-04-2025
Yara King,CUST_0119,BGT_SKU_056,5,WH-KOL,8955.75,1791.15,5,14-04-2025
Eve White,CUST_0184,BGT_SKU_048,3,WH-GGN,5395.77,1798.59,3,14-04-2025
Noah Wilson,CUST_0012,BGT_SKU_056,4,WH-GGN,7164.6,1791.15,4,14-04-2025
Victor Rodriguez,CUST_0424,BGT_SKU_012,2,WH-BLR,4008.56,2004.28,2,14-04-2025
Noah Martinez,CUST_0060,BGT_SKU_072,2,WH-KOL,5962.96,2981.48,2,14-04-2025
Liam Miller,CUST_0122,BGT_SKU_017,5,WH-MUM,12322.9,2464.58,5,14-04-2025
Heidi Thomas,CUST_0161,BGT_SKU_040,4,WH-BLR,10347,2586.75,4,14-04-2025
Judy White,CUST_0366,BGT_SKU_044,4,WH-BLR,5095,1273.75,4,14-04-2025
Victor Jones,CUST_0155,BGT_SKU_094,5,WH-GGN,7398.95,1479.79,5,14-04-2025
Wendy Hernandez,CUST_0128,BGT_SKU_061,4,WH-BLR,11607.88,2901.97,4,14-04-2025
David Johnson,CUST_0484,BGT_SKU_059,2,WH-GGN,5501.04,2750.52,2,14-04-2025
Eve Smith,CUST_0036,BGT_SKU_028,4,WH-GGN,3021.64,755.41,4,14-04-2025
Grace Anderson,CUST_0259,BGT_SKU_011,2,WH-GGN,3839.26,1919.63,2,14-04-2025
Quinn Allen,CUST_0368,BGT_SKU_023,1,WH-GGN,1411.7,1411.7,1,14-04-2025
Xavier Garcia,CUST_0302,BGT_SKU_100,1,WH-GGN,1677.13,1677.13,1,14-04-2025
Grace Thompson,CUST_0487,BGT_SKU_076,1,WH-MUM,1533.75,1533.75,1,14-04-2025
Olivia Anderson,CUST_0237,BGT_SKU_045,3,WH-GGN,3784.92,1261.64,3,14-04-2025
David Moore,CUST_0210,BGT_SKU_019,1,WH-BLR,1660.49,1660.49,1,14-04-2025
Wendy Wilson,CUST_0071,BGT_SKU_090,1,WH-GGN,1098.47,1098.47,1,14-04-2025
Wendy Brown,CUST_0303,BGT_SKU_049,3,WH-GGN,9180.63,3060.21,3,14-04-2025
Heidi Johnson,CUST_0190,BGT_SKU_041,3,WH-MUM,4612.83,1537.61,3,14-04-2025
Bob Garcia,CUST_0188,BGT_SKU_067,5,WH-KOL,7630.3,1526.06,5,14-04-2025
Ivan Lopez,CUST_0477,BGT_SKU_048,5,WH-MUM,8992.95,1798.59,5,14-04-2025
Frank Wright,CUST_0065,BGT_SKU_044,3,WH-BLR,3821.25,1273.75,3,14-04-2025
Wendy Anderson,CUST_0051,BGT_SKU_005,1,WH-MUM,2274.37,2274.37,1,14-04-2025
Heidi Lopez,CUST_0023,BGT_SKU_088,4,WH-KOL,11269.44,2817.36,4,14-04-2025
Wendy Wilson,CUST_0071,BGT_SKU_073,5,WH-BLR,15958.6,3191.72,5,14-04-2025
Kelly Anderson,CUST_0294,BGT_SKU_004,4,WH-MUM,5170.64,1292.66,4,14-04-2025
Victor Martinez,CUST_0037,BGT_SKU_003,3,WH-GGN,5065.08,1688.36,3,14-04-2025
Kelly Moore,CUST_0335,BGT_SKU_094,3,WH-MUM,4439.37,1479.79,3,14-04-2025
Wendy Anderson,CUST_0274,BGT_SKU_040,3,WH-MUM,7760.25,2586.75,3,14-04-2025
Alice White,CUST_0249,BGT_SKU_060,5,WH-KOL,7335.2,1467.04,5,14-04-2025
Liam Hernandez,CUST_0203,BGT_SKU_099,4,WH-GGN,7567.8,1891.95,4,14-04-2025
Alice Moore,CUST_0410,BGT_SKU_062,4,WH-BLR,2124,531,4,14-04-2025
Rachel Thomas,CUST_0159,BGT_SKU_005,1,WH-GGN,2274.37,2274.37,1,14-04-2025
Grace Johnson,CUST_0088,BGT_SKU_044,2,WH-KOL,2547.5,1273.75,2,14-04-2025
Zoe Young,CUST_0355,BGT_SKU_041,3,WH-BLR,4612.83,1537.61,3,14-04-2025
Liam Thompson,CUST_0394,BGT_SKU_091,3,WH-KOL,9661.17,3220.39,3,14-04-2025
Eve Jones,CUST_0298,BGT_SKU_017,4,WH-BLR,9858.32,2464.58,4,14-04-2025
Alice White,CUST_0249,BGT_SKU_008,1,WH-GGN,1674.11,1674.11,1,14-04-2025
Rachel Garcia,CUST_0165,BGT_SKU_040,1,WH-GGN,2586.75,2586.75,1,14-04-2025
Alice Rodriguez,CUST_0053,BGT_SKU_075,4,WH-MUM,13018.2,3254.55,4,14-04-2025
Yara Gonzalez,CUST_0286,BGT_SKU_009,3,WH-GGN,3175.77,1058.59,3,14-04-2025
Xavier Lopez,CUST_0282,BGT_SKU_078,3,WH-BLR,4241.49,1413.83,3,14-04-2025
Heidi Martinez,CUST_0218,BGT_SKU_049,4,WH-GGN,12240.84,3060.21,4,14-04-2025
Frank Lopez,CUST_0486,BGT_SKU_023,1,WH-MUM,1411.7,1411.7,1,14-04-2025
Uma Young,CUST_0009,BGT_SKU_013,2,WH-MUM,4623.84,2311.92,2,14-04-2025
Tina Jackson,CUST_0364,BGT_SKU_027,1,WH-MUM,1510.39,1510.39,1,14-04-2025
Judy Davis,CUST_0197,BGT_SKU_023,3,WH-MUM,4235.1,1411.7,3,14-04-2025
Quinn Martinez,CUST_0353,BGT_SKU_034,4,WH-MUM,9788.04,2447.01,4,14-04-2025
Liam Brown,CUST_0030,BGT_SKU_007,4,WH-KOL,5994.76,1498.69,4,14-04-2025
Olivia Hernandez,CUST_0229,BGT_SKU_082,5,WH-MUM,16429.8,3285.96,5,14-04-2025
Grace Thompson,CUST_0487,BGT_SKU_098,3,WH-GGN,7280.34,2426.78,3,14-04-2025
David Allen,CUST_0319,BGT_SKU_002,3,WH-BLR,2865.9,955.3,3,14-04-2025
Noah Martinez,CUST_0060,BGT_SKU_054,5,WH-KOL,1572.95,314.59,5,14-04-2025
